Applied Filter Selection,,,,,,,,
,,,,,,,,
NE Name,NE Type,Msg Set,Msg ID,Detailed output,Severity Level,Including Ascending Severity Levels,Only events with annotation,Total Number
Parvez,PCS,140-102,Minor,processing alarm,network protocol %s cannot be used by dispatchers,The network specified in MTS_DISPATCHERS does not have the functionality required by the dispatchers.,From Oracle doc: Refer to your Oracle operating system-specific documentation for network protocols supported by the dispatchers.,-- not available --
Parvez,PCS,140-103,Minor,processing alarm,invalid network protocol; reserved for use by dispatchers,The network specified in the Net8 connect string is reserved for use by the dispatchers.,From Oracle doc: Specify other network protocols in the connection string.,-- not available --
Parvez,PCS,140-104,Major,processing alarm,deadlock detected; all public servers blocked waiting for resources,All available public servers are servicing requests that require resources locked by a client which is unable to get a public server to release the resources.,From Oracle doc: Increase the limit for the system parameter MTS_MAX_SERVERS as the system will automatically start new servers to break the deadlock until the number of servers reaches the value specified in MTS_MAX_SERVERS.,-- not available --
Parvez,PCS,140-105,Minor,processing alarm,dispatching mechanism not configured for network protocol %s,An attempt was made to alter the dispatcher's configuration for a network protocol that was not specified in the INIT.ORA file.,"From Oracle doc: Do one of the following:

Include the network protocol in the definition for the MTS_DISPATCHERS initialization parameter and restart the system. 

Use the ALTER SYSTEM SET MTS_DISPATCHERS command with a network protocol that exists in the initialization parameter file.",-- not available --
Parvez,PCS,140-106,Major,processing alarm,cannot startup/shutdown database when connected to a dispatcher,An attempt was made to start or shut down an instance while connected to a shared server via a dispatcher.,"From Oracle doc: Reconnect as user INTERNAL without going through the dispatcher. For most cases, this can be done by connect to INTERNAL without specifying a network connect string.",-- not available --
Parvez,PCS,140-107,Minor,processing alarm,failed to connect to ORACLE listener process,Most likely due to the fact that the network listener process has not been started.,"From Oracle doc: Check for the following:

The network configuration file is not set up correctly. 

The client side address is not specified correctly. 

The listener initialization parameter file is not set up correctly.",-- not available --
Parvez,PCS,140-108,Minor,processing alarm,failed to set up dispatcher to accept connection asynchronously,The network protocol used by the dispatcher does not support asynchronous operations.,From Oracle doc: Contact Oracle Customer Support.,-- not available --
Parvez,PCS,140-111,Minor,processing alarm,no servers started because number of servers is limited to %s,An attempt was made to start more servers than the maximum number specified by the system parameter MTS_MAX_SERVERS.,From Oracle doc: Increase the value of the MTS_MAX_SERVERS initialization parameter as needed or re-issue the ALTER SYSTEM SET MTS_SERVERS command with an appropriate number of servers.,-- not available --
Parvez,PCS,140-112,Minor,processing alarm,only created up to %s (maximum specified) dispatchers,An attempt was made to start more dispatchers than the maximum number specified by the system parameter MTS_MAX_DISPATCHERS.,From Oracle doc: Increase the value of the MTS_MAX_DISPATCHERS initialization parameter as needed.,-- not available --
Parvez,PCS,140-113,Warning,indeterminate,protocol name %s is too long,A protocol name specified in the MTS_DISPATCHERS initialization parameter is too long.,From Oracle doc: Use a valid protocol name for the MTS_DISPATCHERS value.,-- not available --
